127.0.0.1 - - [23/Nov/2022:18:57:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:20 +0900] "GET /Music/index.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:23 +0900] "GET /Music/index.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:46 +0900] "GET /Music/index.html HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:57:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:58:13 +0900] "GET /Music/index.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:58:13 +0900] "GET /Music/css/style.css HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:58:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:59:44 +0900] "GET /Music/index.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:59:44 +0900] "GET /Music/css/style.css HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [23/Nov/2022:18:59:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:42 +0900] "GET /Music/index.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:42 +0900] "GET /Music/css/style.css HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:53 +0900] "GET /Music/index.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:53 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:00:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:08 +0900] "GET /Music/index.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:08 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:53 +0900] "GET /Music/index.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:53 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:01:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:02:02 +0900] "GET /Music/index.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:02:02 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:02:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:05 +0900] "GET /Music/index.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:05 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:12 +0900] "GET /Music/index.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:12 +0900] "GET /Music/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:03:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:05:54 +0900] "GET /Music/index.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:05:54 +0900] "GET /Music/css/style.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:05:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:00 +0900] "GET /Music/index.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:00 +0900] "GET /Music/css/style.css HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:12 +0900] "GET /Music/index.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:12 +0900] "GET /Music/css/style.css HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:22 +0900] "GET /Music/index.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:22 +0900] "GET /Music/css/style.css HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:19:06:31 +0900] "GET /Music/index.html HTTP/1.1" 200 468
